"Financial Year & Period","Route","Route Name","Area","Area Name","Delivery Unit","Delivery Unit Name","Incident Summary Group","Incident Category","Incident Category Description","Incident Reason","Incident Reason Description","Responsible Organisation","Responsible Organisation Name","Responsible Manager","Responsible Manager Name","Responsible Function Level 3 Desc","Responsible Function Level 3 Name","v_Incident Count","v_PfPI Minutes"
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","External","402","External infrastructure damage - Vandalism/Theft","XB","Vandalism or theft (including the placing of objects on the line)","NR","Network Rail","XQBV","Sus Sussex External","External Causes","EXTERNAL CAUSES",4,51
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","External","403","External level crossing/road incidents (not bridges)","XD","Level Crossing Incidents including misuse and emergency services being prioritised over rail services","NR","Network Rail","XQBV","Sus Sussex External","External Causes","EXTERNAL CAUSES",5,35
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","External","503","External fatalities and trespass","XA","Trespass (including non-intentional)","NR","Network Rail","XQBV","Sus Sussex External","External Causes","EXTERNAL CAUSES",17,319
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","External","503","External fatalities and trespass","XC","Fatalities or  injuries caused by being hit by train (including non-intentional)","NR","Network Rail","XQBV","Sus Sussex External","External Causes","EXTERNAL CAUSES",1,428
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","External","506","External other","X8","Animal Strike or incursion not within the control of Network Rail","NR","Network Rail","XQBV","Sus Sussex External","External Causes","EXTERNAL CAUSES",6,109
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","External","506","External other","XO","External trees, building or structures encroaching or falling onto network infrastructure (not weather or vandalism)","NR","Network Rail","XQBV","Sus Sussex External","External Causes","EXTERNAL CAUSES",2,3
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","External","506","External other","XU","Sunlight on signal or dispatch equipment Where all responsible mitigation has been taken","NR","Network Rail","XQBV","Sus Sussex External","External Causes","EXTERNAL CAUSES",1,18
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701A","Non-technical Fleet delays","MS","Planned underpowered or shortformed service and or vehicle, incl. exam set swaps","ET","GTR","MET9","GTR Fleet Controls","NONE","NONE",1,""
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701A","Non-technical Fleet delays","MS","Planned underpowered or shortformed service and or vehicle, incl. exam set swaps","ET","GTR","METW","GTR Class 377 6/7 Unit","NONE","NONE",1,12
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701A","Non-technical Fleet delays","MU","Depot operating problem","D2","Freightliner HH","MDBH","F/Liner Hh Non Coal","NONE","NONE",1,3
